WKT;BARRI
MULTIPOLYGON (((2.16617369359455 41.4200225442591,2.16597152431212 41.4193777480586,2.16556762547149 41.41912978039,2.1648526347115 41.4191681615082,2.16484926904716 41.4187480921797,2.16539279966968 41.4183725160821,2.16646215624341 41.4183213778449,2.1659480326411 41.4181480052942,2.1663554882477 41.417857351202,2.16684219403969 41.4178782792574,2.16703118306812 41.4185369402403,2.16769850725963 41.4185423643186,2.16798534183053 41.4187931575551,2.1684599076999 41.418863371689,2.16806233485344 41.4183543798844,2.16767272492117 41.4181924000316,2.16749331261728 41.4176124607182,2.16609727201763 41.4166926524013,2.16727896302022 41.4154468678589,2.16629252539937 41.4149527352238,2.16350086499369 41.4144728477274,2.16140012972028 41.4137060698714,2.16138162002917 41.4139360676341,2.16105634545247 41.4141757007217,2.16027718523923 41.4139271292532,2.15919323096703 41.4144474104835,2.15834895392662 41.4152286158058,2.15749283326687 41.4165534184777,2.15721192312502 41.4165126289445,2.15662823313593 41.415615928337,2.155994703729 41.4151893008789,2.15549814399665 41.41511433596,2.15517545425904 41.4153434226451,2.15526305212138 41.4156677760509,2.15617603798674 41.4161150849287,2.15652693961128 41.4167205094599,2.15637324526003 41.4174087955934,2.15702401547136 41.4178059846998,2.15758559832341 41.4176364162645,2.15894810265917 41.4165012301507,2.15916577751568 41.4166855646181,2.1587329028058 41.4169337804015,2.15966349190868 41.4177564591464,2.16013471487793 41.4177919125875,2.16087614969534 41.4174653887721,2.16098244862023 41.4177042609531,2.16068792814824 41.4179028061615,2.16089197463217 41.4181581716317,2.16078588131217 41.4182628373198,2.16119694191196 41.4182911766247,2.16164580965887 41.418915884747,2.16129085791064 41.4189125194325,2.16133473770456 41.419203231686,2.16236387943152 41.4194833885855,2.16266935804987 41.4198146673653,2.16171870518254 41.4199832701224,2.1621766454478 41.4201243290622,2.16326286471787 41.419909163605,2.16592514119868 41.4201727884777,2.16617369359455 41.4200225442591)));34
MULTIPOLYGON (((2.17976052658674 41.4214845151634,2.18065825494091 41.4204816674263,2.18083481146024 41.4200338332966,2.18039493622204 41.4174821976441,2.18048442820549 41.4158317842106,2.17432893294721 41.4111821963606,2.16956847232563 41.4148055468951,2.16934915844566 41.4151368436634,2.16932705823696 41.4156430118408,2.16809949521414 41.4157555628167,2.16727896302022 41.4154468678589,2.16609727201763 41.4166926524013,2.16749331261728 41.4176124607182,2.16767272492117 41.4181924000316,2.16806233485344 41.4183543798844,2.1684599076999 41.418863371689,2.16798534183053 41.4187931575551,2.16769850725963 41.4185423643186,2.16703118306812 41.4185369402403,2.16687741466421 41.4179182031764,2.16654017539668 41.4178141383861,2.1659469011656 41.4181129850871,2.16646215624341 41.4183213778449,2.16539279966968 41.4183725160821,2.16484926904716 41.4187480921797,2.1648526347115 41.4191681615082,2.16570761675501 41.4191777064982,2.16601203102289 41.4194328971312,2.1661681627475 41.4199347895364,2.16592514119868 41.4201727884777,2.16470967245648 41.4200889578299,2.16513287954196 41.4212774994034,2.16560217998309 41.4215709981837,2.16664264894291 41.4212890039448,2.16728957655038 41.4221785816648,2.16823442966925 41.4223796885524,2.16696595035701 41.4225749439178,2.16751846650744 41.4227135867117,2.16804122787787 41.4232109227364,2.16893661912217 41.4231573866127,2.16928486080795 41.4233743421663,2.16963605123007 41.4227250349452,2.16902274897225 41.4213709113864,2.16921590057856 41.4211843837456,2.1694812034404 41.4211881097519,2.17097689565621 41.4229162104893,2.17190498369543 41.4231763589337,2.17181814039873 41.4239889809117,2.17251959312998 41.4250584661745,2.17235404747963 41.4265242271734,2.17606401772095 41.4254504870548,2.17976052658674 41.4214845151634)));35
MULTIPOLYGON (((2.17181814039873 41.4239889809117,2.17190498369543 41.4231763589337,2.17097689565621 41.4229162104893,2.1694812034404 41.4211881097519,2.16921590057856 41.4211843837456,2.16902274897225 41.4213709113864,2.16963605123007 41.4227250349452,2.16928486080795 41.4233743421663,2.16893661912217 41.4231573866127,2.16804122787787 41.4232109227364,2.16751846650744 41.4227135867117,2.16696595035701 41.4225749439178,2.16823442966925 41.4223796885524,2.16728957655038 41.4221785816648,2.16664264894291 41.4212890039448,2.16546026045621 41.4215256070791,2.16511266029357 41.4212528523935,2.16481153353169 41.4206445099163,2.16482662322047 41.4208530835529,2.16365617260456 41.4211389571552,2.16329201235974 41.4210210057422,2.16303571643775 41.4216104944955,2.16262805370906 41.4216626761856,2.16229491213993 41.4224474033955,2.15964866863659 41.4219639143799,2.15911835332967 41.4213296888344,2.15848411168165 41.4215830158963,2.15816528218957 41.4230254968758,2.15900614522908 41.4232251267689,2.15857775505422 41.4242719749798,2.15833889294476 41.4255216867145,2.15853777575196 41.4256982229285,2.16379765846818 41.4280096994463,2.16971114955306 41.4272280331331,2.17235404747963 41.4265242271734,2.17251959312998 41.4250584661745,2.17181814039873 41.4239889809117)));36
MULTIPOLYGON (((2.15845776938966 41.4216898677988,2.15911835332967 41.4213296888344,2.15964866863659 41.4219639143799,2.16229491213993 41.4224474033955,2.16262805370906 41.4216626761856,2.16303571643775 41.4216104944955,2.16329201235974 41.4210210057422,2.16365617260456 41.4211389571552,2.16482662322047 41.4208530835529,2.16470967245648 41.4200889578299,2.1654447652509 41.4201365627296,2.16326286471787 41.419909163605,2.1621766454478 41.4201243290622,2.16171870518254 41.4199832701224,2.16266935804987 41.4198146673653,2.16236387943152 41.4194833885855,2.16133473770456 41.419203231686,2.16129085791064 41.4189125194325,2.16164580965887 41.418915884747,2.16119694191196 41.4182911766247,2.16078588131217 41.4182628373198,2.16089197463217 41.4181581716317,2.16068792814824 41.4179028061615,2.16098244862023 41.4177042609531,2.16087614969534 41.4174653887721,2.16002398261532 41.4178121816389,2.15951695866448 41.4176689351424,2.1587329028058 41.4169337804015,2.15916577751568 41.4166855646181,2.15906299481178 41.4165182473971,2.15882433007485 41.4165357308958,2.1585297366542 41.4169223702033,2.15737154129172 41.417775887501,2.15654492063896 41.4176160657409,2.15636360324097 41.4173161281986,2.15650404977468 41.4166510742652,2.15611705378988 41.4160535186522,2.15519542703002 41.4156008945042,2.15525132355202 41.4152339085366,2.15564667687765 41.4150988037658,2.15522332983227 41.4149240984568,2.15465604231215 41.4152239785733,2.15272001523497 41.4168092307307,2.15192424755954 41.4169049149486,2.15092270339122 41.4176490723209,2.15098704878859 41.4182035481737,2.15156742205132 41.4190730003761,2.1517738645641 41.4201427554976,2.14927170580586 41.4203712079358,2.15089380791982 41.4223327282714,2.15104096033932 41.423653369648,2.15132601259334 41.4241850387093,2.15182775282305 41.4247091892255,2.15248068709832 41.4250418452022,2.15182748436839 41.4251840877911,2.15191925590073 41.4260458843149,2.15043567658075 41.4260694096664,2.15042914665249 41.4261752898999,2.15167728216411 41.426402182271,2.15526788722064 41.4283871996173,2.15794410395845 41.4293361531013,2.15779201631179 41.4283218105416,2.15857775505422 41.4242719749798,2.15900614522908 41.4232251267689,2.15816528218957 41.4230254968758,2.15845776938966 41.4216898677988)));37
MULTIPOLYGON (((2.15140570148718 41.4242963460885,2.15104096033932 41.423653369648,2.15089380791982 41.4223327282714,2.15050795913076 41.4217183639735,2.14948868261967 41.4206617496727,2.14947476651413 41.4216410388074,2.14780195264703 41.4215922534469,2.14697642246152 41.4212644784647,2.14514317895422 41.4208930321302,2.14389753739913 41.4201402342353,2.14199494952437 41.4215477490556,2.14045548840798 41.4210980632292,2.14232988664148 41.4247863070155,2.14344349527211 41.4244378845056,2.14495982929342 41.4244707919769,2.14605665634165 41.4242250060596,2.14683966653884 41.4242549553694,2.14795517460629 41.4246329240549,2.15043567658075 41.4260694096664,2.15191925590073 41.4260458843149,2.15182748436839 41.4251840877911,2.15248068709832 41.4250418452022,2.15140570148718 41.4242963460885)));38
MULTIPOLYGON (((2.13464621946435 41.4316948632826,2.13496019321712 41.4316289500614,2.1344743864502 41.4311637354339,2.13469353208746 41.4302161311118,2.1357648044925 41.4293218874508,2.13794903294335 41.4298443031281,2.13832588429825 41.4296820867342,2.13807087633699 41.4290833536035,2.1372974213795 41.4280816938149,2.13827212510628 41.4279684929038,2.13898480910749 41.4269509982223,2.13937736336592 41.4268500211781,2.13919692183318 41.4264579734376,2.13979295202734 41.4254893756479,2.14232988664148 41.4247863070155,2.14004011650615 41.4202324056822,2.13772177618994 41.4209941975135,2.13773924454245 41.4212875209015,2.13843989548086 41.4217674806115,2.13807986044814 41.4228245460228,2.13758982859831 41.4233206428114,2.13628510979088 41.4236271063244,2.13597969900648 41.4245449234164,2.13510580570601 41.4248796759459,2.13504757547092 41.4247036020409,2.13534287970912 41.4242473520242,2.134783497881 41.4235762893664,2.13456711999487 41.4235113755587,2.13421257669475 41.4227234389094,2.13509586501948 41.4219435120251,2.13524883687891 41.4214347305343,2.13469636541764 41.421869443692,2.13437202719371 41.4218996917999,2.13321586534785 41.4218310422816,2.13279811273423 41.4215301673487,2.13135345457732 41.4213839444078,2.13128175102115 41.4210829686125,2.13217153914306 41.4200535031573,2.13210495089769 41.4198194196768,2.13100602195926 41.4193930705839,2.13058333114784 41.4199162904173,2.13007035077303 41.4200759789175,2.12952388886035 41.4195131585498,2.12907061201578 41.4195965418493,2.12875823576382 41.4199317398166,2.12745274780275 41.4193754551694,2.12816680142895 41.4187634429866,2.12790961450686 41.4182881702512,2.12892849690192 41.4174216592001,2.12116287371986 41.4207100736097,2.12150538355687 41.4208685759576,2.12151210685557 41.4211244387139,2.12042650660141 41.4227219188109,2.12054508997605 41.4231137483111,2.12046790524688 41.4239400412526,2.12131121555765 41.4253865766246,2.12121495218692 41.4257826279555,2.12210265240607 41.4266107628877,2.12242866697851 41.4278052257315,2.12278711461413 41.4283906098352,2.12649377550334 41.4314970540909,2.12756952573047 41.4318884292828,2.12895661564879 41.4317565686513,2.12993358639757 41.4318646467512,2.13115816478063 41.4316193878439,2.13226961095191 41.4319759678298,2.1336330216395 41.4317017168967,2.13390462316435 41.4320161937448,2.13363650246943 41.4326893178188,2.13365844894991 41.4330425022799,2.13395033201625 41.4339512256554,2.13427905087167 41.4341583666337,2.13456252987109 41.4340572384117,2.13462298463859 41.4338365428096,2.13410773899905 41.4331144314211,2.13404087304098 41.4327764017067,2.13442196928244 41.4320658451993,2.13439310797273 41.4317274530354,2.13464621946435 41.4316948632826)));39
MULTIPOLYGON (((2.13627462456319 41.4427397555783,2.1370472579449 41.4418147277385,2.13694261956888 41.440957697621,2.13730078951688 41.4405858557377,2.13783544898062 41.4403191037435,2.13842821414262 41.4407892256575,2.14114199038323 41.4396646753168,2.14283120539172 41.4402324459086,2.14295103123123 41.4404536773256,2.14376416803497 41.4401376531945,2.1456275535775 41.4392315568396,2.1459597540021 41.4388153567007,2.14734425221502 41.4379589611891,2.14751488451408 41.4380329346149,2.14806684805455 41.4375240956698,2.14827441518953 41.4365527223642,2.14857143829627 41.4361223663228,2.14745930207653 41.4351010642257,2.14659580475124 41.4338892242916,2.14232988664148 41.4247863070155,2.13980778232013 41.4254764887952,2.13919692183318 41.4264579734376,2.13937736336592 41.4268500211781,2.13898480910749 41.4269509982223,2.13827212510628 41.4279684929038,2.1372974213795 41.4280816938149,2.13807087633699 41.4290833536035,2.13832588429825 41.4296820867342,2.13794903294335 41.4298443031281,2.1357648044925 41.4293218874508,2.13469353208746 41.4302161311118,2.1344743864502 41.4311637354339,2.13496019321712 41.4316289500614,2.13439310797273 41.4317274530354,2.13442196928244 41.4320658451993,2.13403733673831 41.432810134935,2.13461471661372 41.4338084134668,2.13445000417833 41.4341287394998,2.13413290006716 41.4341265513734,2.13392782190311 41.4339014252629,2.13362264279059 41.4328387187633,2.13390055084786 41.431969594667,2.13360153560516 41.4316915535845,2.13226961095191 41.4319759678298,2.13120515483017 41.4316210938374,2.12988206024392 41.4318674096442,2.12895661564879 41.4317565686513,2.12738320396586 41.4318736310976,2.12662820084543 41.4315957296484,2.12644690904587 41.431714061011,2.12752332044416 41.4331309427612,2.12826787403418 41.4335100647603,2.12809600623049 41.4337598091809,2.12876408080803 41.4349744499586,2.1288286270214 41.435969119715,2.1285900532428 41.4366337404912,2.12928964458241 41.4378210023892,2.12947708808625 41.4387268145961,2.12932634700052 41.4400252740413,2.12992801380553 41.4406697753146,2.12995565009229 41.4410861909225,2.12950008371924 41.4419126652134,2.12994476895939 41.4424736036172,2.12994329071256 41.4430294597368,2.13071959985175 41.4438292329531,2.13221148487514 41.4442117968295,2.13285286021557 41.4447265762631,2.13355487851959 41.4444950242237,2.13405557277541 41.4439706645491,2.13499597805501 41.4436364740494,2.13627462456319 41.4427397555783)));40
MULTIPOLYGON (((2.15249430344919 41.4356525980937,2.15282593270464 41.4357505726584,2.15285791467245 41.4359788763231,2.15347657613187 41.4358853485053,2.15347140897538 41.4353992460678,2.15221760778297 41.4334864632909,2.15294426804717 41.4330657958963,2.15377988261636 41.4316911649812,2.15280649811034 41.4309392830457,2.15208551823056 41.4308838179381,2.15191934653276 41.4306417674819,2.15166547793596 41.4306712415957,2.15138188914539 41.4304733463352,2.15106259791544 41.4293879388079,2.15095760953434 41.428205063475,2.15018323277019 41.427114651572,2.14999116357701 41.4265125622173,2.14961062726891 41.4261713222806,2.14969959010558 41.4258983336647,2.15000904087658 41.4257814338944,2.14916247141412 41.4254272544399,2.14789783415629 41.4246049185661,2.14683966653884 41.4242549553694,2.14605665634165 41.4242250060596,2.14495982929342 41.4244707919769,2.14344349527211 41.4244378845056,2.14232988664148 41.4247863070155,2.14641238570409 41.4335497695236,2.14761071320633 41.4352666708899,2.14862460790217 41.4361625726647,2.14982776728516 41.4369147095932,2.15156876094708 41.4373291230064,2.15223505055831 41.4372033642974,2.15277385961229 41.4367592501427,2.15198746116218 41.4362391713037,2.15249430344919 41.4356525980937)));41
MULTIPOLYGON (((2.15382924741728 41.4316016689876,2.15546201079466 41.430422810493,2.15591373287479 41.4298881131179,2.15666228050925 41.4294536118868,2.15701787621413 41.4290113900437,2.15526788722064 41.4283871996173,2.15167728216411 41.426402182271,2.15042914665249 41.4261752898999,2.15017995180334 41.4258170689287,2.14975014508194 41.4258613444245,2.14962958213269 41.4262154907799,2.14999116357701 41.4265125622173,2.15018323277019 41.427114651572,2.15098420468022 41.4282747071266,2.15106259791544 41.4293879388079,2.15139300385033 41.4304896417126,2.15191934653276 41.4306417674819,2.15208551823056 41.4308838179381,2.15280649811034 41.4309392830457,2.15377988261636 41.4316911649812,2.15382924741728 41.4316016689876)));42
MULTIPOLYGON (((2.15948661458361 41.4497676936727,2.15942475705713 41.4493947338676,2.15834091921439 41.4480754890648,2.15757683138993 41.4474986368011,2.15704200703535 41.4474325677568,2.15746930284445 41.4470859402243,2.15759235937466 41.4467128535625,2.15725336003922 41.4460517663072,2.1558348382487 41.4457650719838,2.15571809361116 41.4456081707301,2.15770736813347 41.4448348386085,2.15918713217222 41.4423760273329,2.15969766846524 41.4421229957496,2.15996843710059 41.4423811047743,2.16012595688283 41.4422024343289,2.16240096779386 41.4413251751012,2.16236995693825 41.4407934922773,2.1618900316716 41.4406646359202,2.16155016751931 41.4402714171786,2.1615605754515 41.4399498477319,2.16180029289076 41.439664427937,2.16166424410228 41.4392861523465,2.16243964320838 41.4385854693605,2.16365970473256 41.437859799729,2.16313039009007 41.4373645355506,2.16352009925574 41.4371035512117,2.16316764933245 41.4365875913041,2.16426478301147 41.436285454521,2.1631109184194 41.4328800739338,2.16323121790877 41.4319769714258,2.16431104195097 41.4307658111307,2.16614752386305 41.4296259374225,2.16378379293337 41.4282067275182,2.16363165788169 41.4280967837293,2.16379765846818 41.4280096994463,2.1637194957061 41.427936945617,2.15921241067152 41.4260804287218,2.15833889294476 41.4255216867145,2.15776824024015 41.4284835182589,2.15790511347823 41.4285024720583,2.15794410395845 41.4293361531013,2.15701787621413 41.4290113900437,2.15546201079466 41.430422810493,2.15414625951613 41.431251415824,2.15294426804717 41.4330657958963,2.15226066065495 41.4333948092468,2.15222645206809 41.4336522814696,2.15260832750096 41.4339740680476,2.1535179090209 41.4355151995171,2.15347657613187 41.4358853485053,2.15318856985739 41.4359559098047,2.15285791467245 41.4359788763231,2.15282593270464 41.4357505726584,2.15232833865729 41.4357062990139,2.15198746116218 41.4362391713037,2.15277385961229 41.4367592501427,2.15236467790767 41.4371227302051,2.15165394189994 41.4373324444182,2.15042727347553 41.4371123478833,2.14982776728516 41.4369147095932,2.14857143829627 41.4361223663228,2.14827441518953 41.4365527223642,2.14806684805455 41.4375240956698,2.14751488451408 41.4380329346149,2.14734425221502 41.4379589611891,2.1459597540021 41.4388153567007,2.1456275535775 41.4392315568396,2.14376416803497 41.4401376531945,2.14295103123123 41.4404536773256,2.14283120539172 41.4402324459086,2.14114199038323 41.4396646753168,2.13842821414262 41.4407892256575,2.13783544898062 41.4403191037435,2.13730078951688 41.4405858557377,2.13694261956888 41.440957697621,2.1370472579449 41.4418147277385,2.13630524469298 41.4427325993984,2.13499597805501 41.4436364740494,2.13405557277541 41.4439706645491,2.13355487851959 41.4444950242237,2.13285286021557 41.4447265762631,2.13290735985527 41.4454281599576,2.13383985798178 41.4460382500405,2.13482275222017 41.4475931833661,2.1357378165504 41.4474324944757,2.1366291694254 41.4477436850802,2.13710643108062 41.4476174216247,2.13781270292574 41.4479566634027,2.14081721477092 41.447444267963,2.14165183185106 41.4469855676609,2.14203210875874 41.4469381503892,2.143505958285 41.4476164988061,2.14503839323956 41.4479550034556,2.14661499457358 41.4475540934865,2.14758260612167 41.4469476404561,2.14842451600157 41.4467567352812,2.14953013340959 41.4472241422382,2.15074992949324 41.4472999871478,2.15191130847497 41.447019625367,2.15326877612852 41.4477889303694,2.15355868640976 41.4487984952304,2.15440697728207 41.4494090808341,2.15584225506706 41.4499347525939,2.15657931465103 41.4499137448312,2.15744511553325 41.4495919676459,2.15910949207865 41.4505182768321,2.15948661458361 41.4497676936727)));43
MULTIPOLYGON (((2.16561017124016 41.4304367276813,2.18306446232831 41.4301906640744,2.18437364591892 41.4283500365255,2.1842983674861 41.4276444580084,2.17944334032019 41.4278364062458,2.17729189639976 41.4281738897417,2.17730345142297 41.4254876800269,2.17606401772095 41.4254504870548,2.16998062261587 41.4271787702863,2.16363165788169 41.4280967837293,2.16614752386305 41.4296259374225,2.16408650599196 41.4309758105902,2.16561017124016 41.4304367276813)));44
MULTIPOLYGON (((2.18542902068972 41.4397040656113,2.18275152914636 41.4317466235128,2.18278652890538 41.4306365061798,2.18306446232831 41.4301906640744,2.17468311069995 41.4303121004334,2.17467752941788 41.4306195205361,2.17205131014612 41.4353668381837,2.1744651310216 41.4382033864191,2.17476806084697 41.4381913731724,2.17489625083788 41.4383989051784,2.18542902068972 41.4397040656113)));45
MULTIPOLYGON (((2.17234374261723 41.4348328107571,2.17467752941788 41.4306195205361,2.17468311069995 41.4303121004334,2.16585132619239 41.4303984384082,2.16408650599196 41.4309758105902,2.16323121790877 41.4319769714258,2.1631109184194 41.4328800739338,2.16347621113898 41.4341877859287,2.16397016700281 41.4340766093289,2.16379692353925 41.4336443866679,2.16403025640784 41.4336073198572,2.16441705108543 41.4336801717608,2.16449798921798 41.4339875277079,2.16474513785459 41.4339282231461,2.16483815101944 41.4342269004774,2.16572363610911 41.4340189637235,2.16578086052911 41.4341638399796,2.16666441278238 41.4339473546157,2.16658140458041 41.43374292668,2.16765809180886 41.4334908697312,2.16860104461478 41.4330084969412,2.1690339198317 41.4335090243079,2.1695261090981 41.4332874014535,2.16983156101561 41.4336759711829,2.16901857609506 41.4340586266522,2.16926573424043 41.434577553929,2.16960629992795 41.4348717492076,2.1710860212793 41.4348520566275,2.17205131014612 41.4353668381837,2.17234374261723 41.4348328107571)));46
MULTIPOLYGON (((2.16554644748612 41.4363386434572,2.16795856846734 41.4358370351675,2.1689284359751 41.4350489035206,2.16960633548799 41.4348717764866,2.16926573424043 41.434577553929,2.16901857609506 41.4340586266522,2.16983156101561 41.4336759711829,2.1695261090981 41.4332874014535,2.1690339198317 41.4335090243079,2.16860104461478 41.4330084969412,2.16765809180886 41.4334908697312,2.16658140458041 41.43374292668,2.16666441278238 41.4339473546157,2.16578086052911 41.4341638399796,2.16572363610911 41.4340189637235,2.16483815101944 41.4342269004774,2.16474513785459 41.4339282231461,2.16449798921798 41.4339875277079,2.16441705108543 41.4336801717608,2.16379692353925 41.4336443866679,2.16397016700281 41.4340766093289,2.16347621113898 41.4341877859287,2.16426478301147 41.436285454521,2.16333480532494 41.4365415586346,2.16350597667954 41.4367908608982,2.16423122927761 41.436502163796,2.16554644748612 41.4363386434572)));47
MULTIPOLYGON (((2.17409433031546 41.4400310440959,2.17511646305734 41.4390150705659,2.17469683393373 41.4385641212329,2.17488062739139 41.4382913884845,2.1744651310216 41.4382033864191,2.17188566869517 41.4352141138238,2.1712161829599 41.4348862318649,2.1703908982272 41.4347851017448,2.1689284359751 41.4350489035206,2.16795856846734 41.4358370351675,2.16423122927761 41.436502163796,2.16350597667954 41.4367908608982,2.16333480532494 41.4365415586346,2.16316764933245 41.4365875913041,2.16352009925574 41.4371035512117,2.16313039009007 41.4373645355506,2.16365970473256 41.437859799729,2.16243964320838 41.4385854693605,2.16166424410228 41.4392861523465,2.16180029289076 41.439664427937,2.1615605754515 41.4399498477319,2.16323813336848 41.4403522323719,2.16334085895177 41.4399460518884,2.16366789037824 41.4401866673357,2.17175901146464 41.4433178723189,2.17268170286723 41.4420620850196,2.17309058749134 41.4408707209901,2.17409433031546 41.4400310440959)));48
MULTIPOLYGON (((2.16021134826858 41.4503327298474,2.16186046046474 41.4502583779547,2.16278651233995 41.4497892590355,2.16407441817688 41.4497925082799,2.16389828746468 41.4478554286561,2.1655393756319 41.446149895165,2.16603001054156 41.4460938051368,2.16633904048247 41.4465237893926,2.16632882167163 41.4471163133595,2.16677192020324 41.4473962675883,2.16779969667796 41.4474987627485,2.16825947308438 41.4468445077746,2.16879792576053 41.4469774363808,2.1699989696661 41.4446805177562,2.17055257180677 41.4448167406032,2.17075261937745 41.4444184631509,2.17111147746962 41.4445207255913,2.17175901146464 41.4433178723189,2.16366789037824 41.4401866673357,2.16334085895177 41.4399460518884,2.16323813336848 41.4403522323719,2.1615605754515 41.4399498477319,2.16170512967915 41.4405260650309,2.16236995693825 41.4407934922773,2.16240096779386 41.4413251751012,2.16012595688283 41.4422024343289,2.15996843710059 41.4423811047743,2.15969766846524 41.4421229957496,2.15918713217222 41.4423760273329,2.15770736813347 41.4448348386085,2.15570763536782 41.4456521402405,2.15725336003922 41.4460517663072,2.15759235937466 41.4467128535625,2.15746930284445 41.4470859402243,2.15704200703535 41.4474325677568,2.15794023357287 41.447712089014,2.15942475705713 41.4493947338676,2.15947768636971 41.4499613148004,2.15910949207865 41.4505182768321,2.16021134826858 41.4503327298474)));49
MULTIPOLYGON (((2.18314745043168 41.4527899714823,2.18319132916052 41.4524054142831,2.18013685109422 41.4501339028086,2.17925707184131 41.4487766245679,2.1794220964671 41.4479506055162,2.1796577226267 41.4478774254032,2.18039236272122 41.4470860006311,2.1798896579956 41.4464159983226,2.18003618668974 41.4460498174446,2.17693012626814 41.4452319722717,2.17175901146464 41.4433178723189,2.17111147746962 41.4445207255913,2.17075261937745 41.4444184631509,2.17055257180677 41.4448167406032,2.1699989696661 41.4446805177562,2.16879792576053 41.4469774363808,2.16825947308438 41.4468445077746,2.16779969667796 41.4474987627485,2.16798564337235 41.4477692224031,2.16756878533411 41.4490209216311,2.16773483371274 41.4493319961842,2.16875389223879 41.4494962736914,2.1692747519242 41.4488630859529,2.16970817927373 41.4486603056346,2.17017764645019 41.4487350139146,2.17155265300552 41.4495331635595,2.1725190690975 41.4492680414211,2.17432913531069 41.4504605687199,2.17587273064458 41.4505186925201,2.17665832793837 41.4512298868564,2.17813403796357 41.4515041948076,2.17879392239682 41.4520757855249,2.17949844489397 41.4523449543808,2.1803267819113 41.4524731056594,2.18079374106346 41.4527226208839,2.1818821741203 41.4527950925181,2.18226843412394 41.4533123018673,2.18387466924714 41.4540521717074,2.1843377060508 41.454482100979,2.18423193741691 41.4540674243601,2.18374620726211 41.4534405036341,2.18331331097403 41.4531589758783,2.18314745043168 41.4527899714823)));50
MULTIPOLYGON (((2.17537945545978 41.4393006901634,2.17511646305734 41.4390150705659,2.17320428554729 41.4407214294061,2.17293006183401 41.441149085524,2.17268170286723 41.4420620850196,2.17175901146464 41.4433178723189,2.17693012626814 41.4452319722717,2.17951062989193 41.4458701110096,2.17783501163996 41.4421027058688,2.17537945545978 41.4393006901634)));51
MULTIPOLYGON (((2.17631259423889 41.4385830876287,2.17489625083788 41.4383989051784,2.17469683393373 41.4385641212329,2.17783501163996 41.4421027058688,2.17951062989193 41.4458701110096,2.18003618668974 41.4460498174446,2.18000621316407 41.4461479198128,2.18139627302447 41.4463437314264,2.18770970394243 41.4469633155855,2.18542902068972 41.4397040656113,2.17631259423889 41.4385830876287)));52
MULTIPOLYGON (((2.18871806964771 41.4550442916667,2.1889115084959 41.4532459368187,2.18879924407976 41.4506884459069,2.18770970394243 41.4469633155855,2.18000621316407 41.4461479198128,2.1798896579956 41.4464159983226,2.18039236272122 41.4470860006311,2.1796577226267 41.4478774254032,2.1794220964671 41.4479506055162,2.17925707184131 41.4487766245679,2.18020897804139 41.4502017923238,2.18319132916052 41.4524054142831,2.18322236656234 41.4530177604814,2.18423193741691 41.4540674243601,2.18455054397257 41.4548312960331,2.18609839875084 41.4554360880247,2.18789086854425 41.4569069175713,2.18871806964771 41.4550442916667)));53
MULTIPOLYGON (((2.18136871194244 41.4614429687032,2.18256430903977 41.4602042255094,2.18667350189607 41.4573539968324,2.18752663518845 41.4565862470861,2.18609839875084 41.4554360880247,2.1848392591366 41.4548707798554,2.18473752728531 41.454975879757,2.18393651581751 41.4540964945891,2.18226843412394 41.4533123018673,2.1818821741203 41.4527950925181,2.18079374106346 41.4527226208839,2.1803267819113 41.4524731056594,2.17949844489397 41.4523449543808,2.17879392239682 41.4520757855249,2.17813403796357 41.4515041948076,2.17665832793837 41.4512298868564,2.17587273064458 41.4505186925201,2.17432913531069 41.4504605687199,2.17253508918404 41.449273561108,2.17155265300552 41.4495331635595,2.17017764645019 41.4487350139146,2.16970817927373 41.4486603056346,2.1692747519242 41.4488630859529,2.16875389223879 41.4494962736914,2.16833624245317 41.4495260239205,2.1676971867336 41.4493138350782,2.16756878533411 41.4490209216311,2.16795826735334 41.4476359308025,2.16769888760292 41.4474572748529,2.16644529771372 41.4472402888128,2.16630831773922 41.4470664978631,2.16632711809167 41.4464919068034,2.16599037645166 41.4460664685159,2.16553937442334 41.4461498960569,2.16389828746468 41.4478554286561,2.16391222567012 41.4490160560826,2.16435882248773 41.4505691337216,2.16479210580207 41.4510932267658,2.16559788145046 41.4515797557411,2.16533268022521 41.4522491242925,2.16480126295316 41.4526752123687,2.16492385731146 41.4547705154646,2.16440659068338 41.455115588031,2.16416868489367 41.4557938087281,2.16574075583442 41.4583729564925,2.16616224585963 41.4584653948444,2.16682220464461 41.459078614178,2.16992296313253 41.459132361347,2.17083347157483 41.4591292479428,2.17083453702159 41.4590182484211,2.17150021133808 41.4589142327835,2.17189499037824 41.459091370518,2.17339328272832 41.4591438639902,2.17413322606851 41.458470170333,2.17610189352944 41.4590372197684,2.17632760693627 41.4589443161497,2.17887585392624 41.4605935067781,2.17896963967052 41.460885548503,2.17995235714031 41.4613116188573,2.18048462760369 41.4612739890105,2.17979653870165 41.4623216694709,2.18056855583052 41.4625939303357,2.18136871194244 41.4614429687032)));54
