WKT;BARRI
MULTIPOLYGON (((2.17624149252531 41.3728622776303,2.17500300835637 41.3713022174029,2.17397923557906 41.3703484511157,2.17372703458257 41.3696685349881,2.17354838143131 41.3697070284339,2.1732337387413 41.3685473201534,2.17239830845747 41.3674639615936,2.17254336245202 41.3673498495995,2.17123483327928 41.365112840527,2.16884601866287 41.3620170240356,2.16323423061466 41.3580709310871,2.15964035220316 41.3548521232228,2.15782740932457 41.3534808249539,2.15542466888736 41.3523038264213,2.15348156909504 41.3517779761651,2.15221116183274 41.3524037616957,2.15097060340159 41.3527710670496,2.14748424108148 41.354570169715,2.14638638950483 41.35540486291,2.14584835655206 41.356653110445,2.14489854966896 41.3577707979175,2.1447052270996 41.3591256276534,2.14599263016807 41.3598450555425,2.1466065909676 41.3600116739657,2.14917030912432 41.3597562966399,2.149420365394 41.3599971784316,2.14926632510531 41.3607356673564,2.14876646165105 41.3615153390375,2.14757707236634 41.3624720893913,2.14603558571994 41.3632076919504,2.14534782201444 41.3632772405666,2.14421710539321 41.3637465611819,2.14281727247061 41.3646987240369,2.14304755898627 41.3648635882064,2.14194077093941 41.3654384805119,2.14213819374017 41.366050856094,2.14234823354851 41.3660354398137,2.14358506825181 41.3676351683791,2.1453150736861 41.3685316515952,2.14567373708356 41.3690252614572,2.14629387274541 41.369348009819,2.14702260330527 41.3695101989384,2.14840284847451 41.3694426507245,2.14887495299339 41.369564898871,2.1493031900493 41.3699852943454,2.14959821378772 41.3708970013648,2.15038270548994 41.3712550924161,2.14730190512163 41.3736545481903,2.14863184694119 41.3748081296653,2.1486332009836 41.3752921138947,2.14916666632731 41.3755640586284,2.14989886555104 41.3750744816272,2.15098919978443 41.3750351528454,2.16999862097832 41.3749556433702,2.17519532078792 41.3746377302256,2.17573812076173 41.3742919508506,2.17545929191615 41.373930884173,2.17562885160784 41.3735210546714,2.17547278436174 41.3733264519774,2.17630238150652 41.3729514196976,2.17624149252531 41.3728622776303)));11
MULTIPOLYGON (((2.17652985020135 41.3728945518962,2.1770949365285 41.3727532767001,2.17762154833226 41.3723611782616,2.17737594405196 41.3721194169582,2.17708961007667 41.3721436086137,2.17675173616206 41.3698499535741,2.17710883702727 41.3698209003139,2.17703917789517 41.3693566039346,2.1766822244449 41.369385734605,2.17639269464443 41.3674228065387,2.17668888153012 41.367397903393,2.17651978275013 41.3671318176173,2.17967546695627 41.3659788080463,2.1798266696101 41.366220694446,2.18075234180474 41.3657956106172,2.17931367385445 41.3635598726159,2.17899287725806 41.3636778630599,2.17927950483354 41.3641201696203,2.17598308356495 41.3653241158093,2.17348007008882 41.3620354201938,2.17384398028704 41.361879890479,2.17369116857982 41.3616457139315,2.17673901018206 41.3605528459739,2.17544751778143 41.3586307587244,2.17093087736758 41.3602513190719,2.1699005290634 41.3586473935392,2.17305129044654 41.3565026975339,2.16690655269615 41.3471439171898,2.16356276009389 41.3483956211462,2.16369636169893 41.3485208965409,2.16337781656057 41.3486412373073,2.16304120174947 41.34845131521,2.16323920864457 41.348369254912,2.15330828219952 41.3427011352094,2.15300595535178 41.3429431239268,2.15321767314503 41.3444631424518,2.15285392636511 41.3444929017386,2.15300739824095 41.3455997286311,2.15264241712474 41.3456283161686,2.15274058497354 41.3463402045067,2.15195748965244 41.346401452939,2.15180966633833 41.3457199318268,2.15186971717274 41.3464080121745,2.15092428139686 41.3464834239741,2.14956767414402 41.3366756158851,2.14561255915572 41.3365506265805,2.14562784006828 41.3363244596673,2.14531429002923 41.3364267726533,2.14427925949609 41.3347474003854,2.14728037576872 41.3336974663524,2.14584881243391 41.3313711802329,2.14608535878319 41.3312858681564,2.14590165809507 41.330987713985,2.14891265238224 41.3299980973901,2.14952788984503 41.3309314181003,2.14955261055318 41.3312083139618,2.15033983344578 41.3322336974121,2.15030473403398 41.3324149412069,2.15111520496361 41.3334871231146,2.15106594829173 41.3336589398313,2.15128108365304 41.333751079792,2.15193434311841 41.3348015860383,2.15187917110647 41.3349633250282,2.15208788941197 41.3350539929847,2.15274327050391 41.3361235160953,2.15275481128776 41.3364014129553,2.15293263540686 41.3364316722681,2.15366633725687 41.3376267555638,2.15360656654752 41.3377911997952,2.15378649350251 41.3378209057776,2.15408963943954 41.3383115614212,2.15438145929272 41.3390341592758,2.15481764438647 41.3395058565903,2.15623281493191 41.3418198927009,2.15696087166147 41.3421774965004,2.15684910097857 41.3422937221368,2.15708807841383 41.342405581302,2.15708094942103 41.3422336104956,2.15787099042753 41.342589185419,2.15825002072202 41.3425856169675,2.15920726072929 41.3432460868975,2.1594796083893 41.3432517243556,2.16117891220324 41.3425922924647,2.16104854261708 41.3420842786448,2.16276125336134 41.3418003477553,2.16283635766635 41.3420059065827,2.16259314807474 41.3420735315497,2.1625293031499 41.3425014133163,2.16424084443929 41.3422270449945,2.16394531083908 41.3418431392647,2.16366076403429 41.3418497551109,2.16361369640784 41.3416722700179,2.16623995064003 41.3412501349267,2.16611518155842 41.3410656654779,2.16532040656666 41.3411358289414,2.16511437750421 41.3406725699117,2.16528834620239 41.3405914755008,2.16517821452506 41.3403402208875,2.16552849102348 41.3402530186558,2.16572935815169 41.3406132919193,2.16560051595037 41.3401572948587,2.16493663778392 41.3402451497427,2.16407522299395 41.3383220736025,2.16515461405847 41.3380732103588,2.16523515699326 41.3383388877976,2.16538866241228 41.3383136359074,2.16517843010426 41.3375877301562,2.16502348917463 41.3376132145627,2.16509971262529 41.3378763926983,2.16391383019672 41.3379715691084,2.15920241134609 41.3272208509893,2.15889860329278 41.3271393642992,2.15872251198534 41.3272808297356,2.15897108613238 41.3277630757226,2.15884521851169 41.3278347931721,2.15429951508356 41.3278601569043,2.15449508559982 41.3274661962754,2.15421301853776 41.327213775631,2.15403987016687 41.3272691969132,2.15422064962512 41.3275569311134,2.1539626800106 41.3276651709999,2.15235099913006 41.3230758120663,2.15226520519817 41.3229642182148,2.15172692748722 41.3231536698689,2.15081576680402 41.321674096747,2.14985730566441 41.3206828789985,2.14574152771242 41.3207509238873,2.13976876891961 41.3211153595169,2.13071181940099 41.3207717934248,2.12579804894809 41.3213529291492,2.11890078720586 41.3227340244249,2.11565267370311 41.3238898777889,2.11230244325582 41.3261166895024,2.10874883063312 41.3307295795076,2.10765370846309 41.3317449995719,2.10412839059098 41.3343354032882,2.10224969817905 41.335350675123,2.10052652118367 41.3360420492943,2.12809193774285 41.3452980479594,2.13678613531189 41.3483647530412,2.13742207974952 41.3487735500867,2.13517536823489 41.3511351033361,2.13377096101779 41.3530050595184,2.14181538353728 41.3563424530718,2.14335900157338 41.3542091298328,2.14516023925314 41.3547691022536,2.14638638950483 41.35540486291,2.14748424108148 41.354570169715,2.15097060340159 41.3527710670496,2.15221116183274 41.3524037616957,2.15348156909504 41.3517779761651,2.15542466888736 41.3523038264213,2.15676882172163 41.3528679346091,2.15964035220316 41.3548521232228,2.16323423061466 41.3580709310871,2.16859691672437 41.3618085824162,2.16925317069542 41.3624215917011,2.17123483327928 41.365112840527,2.17254336245202 41.3673498495995,2.17239830845747 41.3674639615936,2.1732337387413 41.3685473201534,2.17354838143131 41.3697070284339,2.17372703458257 41.3696685349881,2.17397923557906 41.3703484511157,2.17500300835637 41.3713022174029,2.17630238150652 41.3729514196976,2.17652985020135 41.3728945518962)),((2.17520933721727 41.3498386073143,2.17416943621836 41.3457753100775,2.17364450888074 41.3428221909262,2.16988801621413 41.3263953052376,2.17293720844077 41.317346051236,2.17280873726138 41.3170935452147,2.1725494083815 41.317041959131,2.17230522773292 41.3171907207704,2.17240977711886 41.3174489463276,2.16935525288713 41.3263708971265,2.17114031511862 41.3339193250893,2.17010339787287 41.334064234205,2.16997339440915 41.334235801101,2.17017572620492 41.3346224337617,2.17027156096608 41.3345602246963,2.17014427970805 41.3341924277915,2.17095473055999 41.3340993625843,2.17106740135752 41.3350789327684,2.17073574806463 41.3351271662338,2.1705368804657 41.3356643870633,2.17109168967326 41.3381873563422,2.17095056794571 41.3385592746268,2.17099358258595 41.3387563704981,2.17177859333482 41.3386631506549,2.17212898349378 41.3401675738269,2.17152269335445 41.340316159713,2.17234059997587 41.3441927821086,2.17169118467693 41.3447232500329,2.17148578680019 41.3445009057542,2.17129073203327 41.3445225067179,2.172219565921 41.3488105000771,2.17186902671317 41.3488532411991,2.17190243744285 41.3490088261683,2.1721024960654 41.3494037882479,2.1724230621889 41.3492890225435,2.18240155567291 41.3647492323038,2.18290093250325 41.3648548167453,2.18285863973333 41.3651551253525,2.18305956958859 41.3651980227161,2.18328141834617 41.3649085995814,2.18307821522757 41.364864068711,2.18347476071779 41.363320436279,2.18303630073517 41.3631602326531,2.17609291437211 41.3523065246291,2.17604267927233 41.3515882619089,2.17541102904101 41.350840072948,2.17520933721727 41.3498386073143)));12
MULTIPOLYGON (((2.13962074561286 41.3659709091845,2.13973120172039 41.3658640814358,2.14126242666274 41.3659468445009,2.14168065584584 41.3662587520577,2.14178636778256 41.3666151813666,2.14195290152806 41.3666147712622,2.14201100037961 41.3660938222496,2.14213819378749 41.3660508524914,2.14194723950144 41.3654212730086,2.14304755898627 41.3648635882064,2.14281727247061 41.3646987240369,2.14421710539321 41.3637465611819,2.14534782201444 41.3632772405666,2.14603558571994 41.3632076919504,2.14774023282505 41.3623559115929,2.14894289966179 41.36129736438,2.14930896186126 41.3606234422799,2.14941014655576 41.3599537856093,2.14881469302531 41.3597049810398,2.1465072334941 41.3599966691529,2.1447052270996 41.3591256276534,2.14489854966896 41.3577707979175,2.14584835655206 41.356653110445,2.14638638950483 41.35540486291,2.14516023925314 41.3547691022536,2.14335900157338 41.3542091298328,2.14181538353728 41.3563424530718,2.13389983005254 41.3530596099879,2.1320695555869 41.3557435197015,2.13318791535786 41.356177436697,2.13297006946326 41.356496826381,2.13319355754209 41.3574165689823,2.13321599799836 41.3584265612275,2.13336513731501 41.3584844752339,2.13285238420803 41.3591915311585,2.13330979636373 41.3593806476792,2.13296658200397 41.3598528381195,2.13468432090636 41.3611489240374,2.13543005737275 41.3622565088545,2.13379733750759 41.3635082925099,2.1405249430489 41.3685504821876,2.13962074561286 41.3659709091845)));13
MULTIPOLYGON (((2.14887495299339 41.369564898871,2.14840284847451 41.3694426507245,2.14702260330527 41.3695101989384,2.14596532213368 41.3692137736888,2.1453150736861 41.3685316515952,2.14347631062471 41.3675401761529,2.14234823354851 41.3660354398137,2.14203680441905 41.3660582916585,2.14195290152806 41.3666147712622,2.14178636778256 41.3666151813666,2.14168065584584 41.3662587520577,2.14126242666274 41.3659468445009,2.13973120172039 41.3658640814358,2.13962074561286 41.3659709091845,2.1405249430489 41.3685504821876,2.14730190512163 41.3736545481903,2.15038270548994 41.3712550924161,2.14959821378772 41.3708970013648,2.1493031900493 41.3699852943454,2.14887495299339 41.369564898871)));14
MULTIPOLYGON (((2.14483733278694 41.3788017049206,2.14922688603705 41.3755661837847,2.1486332009836 41.3752921138947,2.14863184694119 41.3748081296653,2.14795037766657 41.3741445555113,2.14236871673891 41.3699358565209,2.14247060133272 41.3727022868747,2.14194614444613 41.3724519314516,2.14145895449876 41.3728597973247,2.14146573028874 41.3737986389999,2.14113143751629 41.3738063679097,2.14108137489427 41.3739313789523,2.14106434550304 41.3748267976674,2.14081102386375 41.3753010350086,2.14045420346562 41.3753080352563,2.14048807009871 41.376493353491,2.14228003891634 41.3766174631512,2.14182264226143 41.3769528895393,2.14183517826295 41.3784172891188,2.14240685233599 41.3786937330866,2.1419797450885 41.3791196436922,2.1421067063784 41.3796383566687,2.14290317499303 41.380263753173,2.14483733278694 41.3788017049206)));15
MULTIPOLYGON (((2.14161963593297 41.3727130744885,2.14194614444613 41.3724519314516,2.14247060133272 41.3727022868747,2.14236871673891 41.3699358565209,2.13379733750759 41.3635082925099,2.13365627650859 41.3636145680227,2.13288541655983 41.3655384154759,2.13203051458636 41.3667779876465,2.1316307629922 41.3679721976276,2.13064637713784 41.3694728097205,2.12999620708589 41.3700833837637,2.1317227939333 41.3715850577217,2.13220721864858 41.3708806530247,2.13368689960148 41.3711868410403,2.13532225981088 41.3710967076199,2.13806635621241 41.3719837195991,2.13786596099958 41.3723520222817,2.14041229387101 41.3732041325845,2.14031626315591 41.3738060094594,2.14146573028874 41.3737986389999,2.14145030754708 41.3728862779834,2.14161963593297 41.3727130744885)));16
MULTIPOLYGON (((2.13030642612173 41.3760330135418,2.13183056726282 41.3716977100908,2.12999620708589 41.3700833837637,2.12923011654134 41.3707261354202,2.12730064030784 41.3716260729837,2.12426696138825 41.3735403619401,2.12324079226261 41.3748503699727,2.12178693720466 41.3756946656948,2.12270316594995 41.3756737611887,2.12915420585654 41.3793869822332,2.13030642612173 41.3760330135418)));17
MULTIPOLYGON (((2.14203745945014 41.3784259972395,2.14183517826295 41.3784172891188,2.14182264226143 41.3769528895393,2.14228003891634 41.3766174631512,2.14048807009871 41.376493353491,2.14045420346562 41.3753080352563,2.14081102386375 41.3753010350086,2.14106434550304 41.3748267976674,2.14099101371205 41.3742490482831,2.14113143751629 41.3738063679097,2.14024855313213 41.3737808590003,2.14041229387101 41.3732041325845,2.13786596099958 41.3723520222817,2.13806635621241 41.3719837195991,2.13532225981088 41.3710967076199,2.13368689960148 41.3711868410403,2.13220721864858 41.3708806530247,2.13172279517686 41.3715850541281,2.13183056726282 41.3716977100908,2.12915420585654 41.3793869822332,2.13166745252861 41.3806010666385,2.13480769468954 41.3815322277051,2.13905716793238 41.3832163666967,2.14070713257058 41.3841713718918,2.14264192713633 41.385617130484,2.14230283948269 41.3807175326146,2.14290317499303 41.380263753173,2.1421067063784 41.3796383566687,2.1419797450885 41.3791196436922,2.14240685233599 41.3786937330866,2.14203745945014 41.3784259972395)));18
MULTIPOLYGON (((2.13746806522427 41.3914351831074,2.13876745512398 41.3912383708835,2.14405439620761 41.3925745897198,2.14434446915422 41.3923840444791,2.14352943490791 41.3900434085748,2.14293973169858 41.3876775429032,2.14264192713633 41.385617130484,2.14070713257058 41.3841713718918,2.13905716793238 41.3832163666967,2.13480769468954 41.3815322277051,2.13166745252861 41.3806010666385,2.12915420585654 41.3793869822332,2.12730330455912 41.3849603260034,2.12715129312466 41.3864903489225,2.12732103442918 41.387960777335,2.12713278808185 41.3880321750635,2.12688012448804 41.3885923231329,2.12760685919391 41.3888991749149,2.12825717683761 41.3905954985717,2.12898543443574 41.3918017908552,2.12959581196914 41.3923385804861,2.12958579401447 41.3925208901731,2.13008375608262 41.3926820664889,2.13066887279246 41.3924677535733,2.13746806522427 41.3914351831074)));19
MULTIPOLYGON (((2.12913926713959 41.3794335569019,2.12270316594995 41.3756737611887,2.12178693720466 41.3756946656948,2.1216185767178 41.376111858902,2.12164542961994 41.3773416244296,2.12144122542502 41.3779856175681,2.11780122316085 41.3757756472264,2.10930640271908 41.3759448645919,2.10906498299078 41.3770379141442,2.10814092934897 41.3781355877305,2.10598257610382 41.3792337875208,2.10549896907628 41.3788767575073,2.1038616001368 41.3800651759423,2.10259466097887 41.3806417173522,2.10193344477772 41.3813429456291,2.10170949868961 41.3818270142863,2.1270384101162 41.3882447205581,2.12732103442918 41.387960777335,2.12715129312466 41.3864903489225,2.12730330455912 41.3849603260034,2.12913926713959 41.3794335569019)));20
