PERIODO,CODIBARRIO,NOMBARRIO,NOMDISTR,INDICE,PuntosWKT_Y,PuntosWKT_X
0:00:05,"33", el Baix Guinardo,Horta-Guinardo,"0.407","41.4117131225578","2.16785089889991"
0:00:05,"34", Can Baro,Horta-Guinardo,"0.313","41.4167603624773","2.16238655396766"
0:00:05,"35", el Guinardo,Horta-Guinardo,"0.438","41.418819868153","2.17362601503213"
0:00:05,"36", la Font d'en Fargues,Horta-Guinardo,"0.385","41.4245821617591","2.16524149181692"
0:00:05,"37", el Carmel,Horta-Guinardo,"0.386","41.421746723314","2.15594700438777"
0:00:05,"38", la Teixonera,Horta-Guinardo,"0.305","41.4230528109383","2.14652186311908"
0:00:05,"39", Sant Genos dels Agudells,Horta-Guinardo,"0.283","41.4253834218268","2.1301612340138"
0:00:05,"40", Montbau,Horta-Guinardo,"0.304","41.4352665548618","2.13776097144644"
0:00:05,"41", la Vall d'Hebron,Horta-Guinardo,"0.328","41.4304171260315","2.14834464217634"
0:00:05,"42", la Clota,Horta-Guinardo,"0.293","41.4288649635772","2.15307633981154"
0:00:05,"43", Horta,Horta-Guinardo,"0.350","41.4398904970344","2.15193005935826"
0:00:05,"44", Vilapicina i la Torre Llobeta,Nou Barris,"0.363","41.4285913589532","2.17409213984817"
0:00:05,"45", Porta,Nou Barris,"0.371","41.4348670844389","2.17878529784482"
0:00:05,"46", el Turo de la Peira,Nou Barris,"0.311","41.4322980974491","2.1689287084102"
0:00:05,"47", Can Peguera,Nou Barris,"0.427","41.4348421203824","2.16645013208173"
0:00:05,"48", la Guineueta,Nou Barris,"0.315","41.4388101931711","2.16891116868653"
0:00:05,"49", Canyelles,Nou Barris,"0.194","41.4450329909839","2.16345042524032"
0:00:05,"50", les Roquetes,Nou Barris,"0.304","41.4480447050433","2.17516322005274"
0:00:05,"51", Verdun,Nou Barris,"0.336","41.4426938575481","2.17562281765313"
0:00:05,"52", la Prosperitat,Nou Barris,"0.369","41.4426582567835","2.18195994886479"
0:00:05,"53", la Trinitat Nova,Nou Barris,"0.310","41.4506079060066","2.18489045053636"
0:00:05,"54", Torre Baro,Nou Barris,"0.202","41.4547824603573","2.17406522920364"
0:00:05,"55", Ciutat Meridiana,Nou Barris,"0.247","41.4612077364467","2.17484765023219"
0:00:05,"56", Vallbona,Nou Barris,"0.218","41.4634574620307","2.18408245578201"
0:00:05,"57", la Trinitat Vella,Sant Andreu,"0.233","41.451661321142","2.19289088135441"
0:00:05,"58", Baro de Viver,Sant Andreu,"0.159","41.4458146734734","2.19899775842407"
0:00:05,"59", el Bon Pastor,Sant Andreu,"0.274","41.4369665958188","2.20188219981613"
0:00:05,"60", Sant Andreu,Sant Andreu,"0.448","41.4369384203085","2.19023293305931"
0:00:05,"61", la Sagrera,Sant Andreu,"0.394","41.4232637623357","2.1902413234256"
0:00:05,"62", el Congros i els Indians,Sant Andreu,"0.336","41.4245788563833","2.18083578439351"
0:00:05,"63", Navas,Sant Andreu,"0.332","41.4180003577193","2.18594837935315"
0:00:05,"64", el Camp de l'Arpa del Clot,Sant Marti,"0.458","41.4120106163224","2.18246118553866"
0:00:05,"65", el Clot,Sant Marti,"0.408","41.4098058884566","2.1900203406345"
0:00:05,"66", el Parc i la Llacuna del Poblenou,Sant Marti,"0.374","41.3986132201153","2.19024971446293"
0:00:05,"67", la Vila Olompica del Poblenou,Sant Marti,"0.453","41.3907323471478","2.19662939645206"
0:00:05,"68", el Poblenou,Sant Marti,"0.456","41.399986587118","2.20239448322456"
0:00:05,"69", Diagonal Mar i el Front Marotim del Poblenou,Sant Marti,"0.392","41.4052762672387","2.21294616022098"
0:00:05,"70", el Besos i el Maresme,Sant Marti,"0.314","41.4133188219144","2.21678731560961"
0:00:05,"71", Proven̤als del Poblenou,Sant Marti,"0.347","41.4111231757404","2.20262965976763"
0:00:05,"72", Sant Marto de Proven̤als,Sant Marti,"0.362","41.416861886072","2.19800644265532"
0:00:05,"73", la Verneda i la Pau,Sant Marti,"0.327","41.423947239365","2.20306084427352"
