ID_BARRIO;NOM_BARRIO;ID_DISTRIT;NOM_DISTR;1_2014;2_2014;3_2014;4_2014;1_2015;2_2015;3_2015;4_2015;1_2016;2_2016;3_2016;4_2016;1_2017;2_2017;3_2017;4_2017;1_2018;2_2018;3_2018;4_2018;
45; Porta;8;Nou Barris;988,9;1147,1;1030,8;1188,8;887,0;1023,8;1252,8;1172,3;904,3;1172,1;1060,2;1414,9;1106,6;1600,9;1323,3;1546,7;1643,3;2072,6;1662,2;1635,0;
46; el Turo de la Peira;8;Nou Barris;482,8;697,9;522,6;557,6;450,0;419,7;495,6;714,3;648,3;683,5;653,1;712,0;733,8;776,0;898,7;966,7;974,6;1111,5;989,2;975,2;
47; Can Peguera;8;Nou Barris;199,7;87,6;117,2;100,0;42,1;26,2;26,8;18,7;8,6;37,2;49,1;75,5;10,4;61,7;51,5;21,4;11,1;10,6;21,8;33,5;
48; la Guineueta;8;Nou Barris;424,0;565,5;351,2;583,1;248,5;453,6;332,3;524,0;838,5;578,6;732,8;794,5;842,0;896,8;757,5;1220,4;837,7;1308,7;1140,0;1155,8;
49; Canyelles;8;Nou Barris;41,7;39,4;102,8;82,5;21,4;42,8;43,3;44,1;115,8;61,7;73,2;84,2;130,1;97,1;118,8;120,7;69,1;72,2;113,1;86,6;
50; les Roquetes;8;Nou Barris;509,7;524,5;538,8;511,7;518,4;523,5;535,4;464,4;410,5;451,0;372,6;411,7;363,9;513,1;475,9;541,0;544,5;547,0;434,7;525,3;
51; Verdun;8;Nou Barris;408,7;564,3;537,9;541,2;477,3;543,6;516,9;534,4;590,9;615,0;433,6;601,6;479,1;760,9;580,8;713,8;836,9;803,5;807,7;841,6;
52; la Prosperitat;8;Nou Barris;998,1;1090,0;949,3;1142,9;807,9;1109,6;1051,0;1326,3;910,9;1276,6;1230,0;1363,9;1151,0;1287,8;1320,6;1721,8;1361,9;1921,7;1576,5;1867,4;
53; la Trinitat Nova;8;Nou Barris;295,3;306,9;180,1;230,6;174,1;226,5;230,9;323,2;271,2;172,5;212,7;210,7;208,5;275,4;286,7;348,1;228,3;347,2;373,1;299,1;
54; Torre Baro;8;Nou Barris;7,3;112,4;15,0;7,6;14,9;56,9;17,5;30,7;61,3;86,5;0,0;52,4;68,3;24,6;52,7;101,9;34,3;61,6;46,3;44,0;
55; Ciutat Meridiana;8;Nou Barris;247,8;203,1;247,4;226,7;195,1;172,1;146,8;236,6;135,2;237,8;186,6;291,1;235,2;210,4;205,3;208,2;314,2;306,4;296,1;302,8;
56; Vallbona;8;Nou Barris;5,3;19,2;21,5;9,9;14,8;33,5;13,7;15,2;36,9;26,2;38,2;28,0;37,8;53,9;8,9;43,9;32,1;0,0;31,9;10,5;
57; la Trinitat Vella;9;Sant Andreu;323,2;254,2;313,4;234,1;201,5;314,8;273,1;307,0;254,2;335,1;266,7;302,9;219,8;265,2;221,3;326,4;589,0;356,9;240,8;273,7;
58; Baro de Viver;9;Sant Andreu;23,0;70,5;8,7;13,5;41,7;41,7;25,9;19,5;28,7;9,4;30,7;10,4;27,2;17,0;9,6;11,1;41,7;24,6;41,6;54,4;
59; el Bon Pastor;9;Sant Andreu;296,3;268,3;340,5;340,8;296,6;368,0;347,6;462,0;502,8;326,0;295,8;230,7;377,7;506,9;311,3;241,5;390,6;441,4;386,4;369,6;
