;;;;2014,357143;2014,357143;2014,357143;2014,357143;2015,309524;2015,119048;2014,928571;2014,738095;2016,452381;2016,261905;2016,071429;2015,880952;2017;2017;2017;2017;2018;2018;2018;2018
CODIDISTR;NOMDISTR;CODIBARRIO;NOMBARRIO;1_trim;2_trim;3_trim;4_trim;1_trim;2_trim;3_trim;4_trim;1_trim;2_trim;3_trim;4_trim;1_trim;2_trim;3_trim;4_trim;1_trim;2_trim;3_trim;4_trim
7;Horta-Guinardo;38; la Teixonera;492,79;476,94;469,77;506,77;505;547,2;498;527,5;513,5;544,6;570,1;672,6;663,9;671,85;643,74;616,32;690,81;682,44;705,6;721,23
7;Horta-Guinardo;39; Sant Genos dels Agudells;557;568,75;542,51;550,45;543,3;558,5;554;545,8;616,4;592,4;603,8;623,6;622,33;680,8;713,38;672,7;648,1;646,83;660,93;666,91
7;Horta-Guinardo;40; Montbau;537,94;535,88;578,5;544,47;608,9;621,8;626;654,1;614,8;635,1;646,4;668,5;716,43;677,09;749;754,69;717,78;716,18;763,82;750,95
7;Horta-Guinardo;41; la Vall d'Hebron;737,73;675,63;715;672,22;740;701,4;655;689,8;692,4;786,3;796,9;778,7;816,05;819,11;805,87;865,42;874,2;864,72;822,31;876,65
7;Horta-Guinardo;42; la Clota;572,398;579,13;580,518;592,416;597,76;601,77;588,6;614,61;624,58;632,82;652,85;688,22;700,247;706,518;739,141;727,567;742,884;735,994;764,267;760,526
7;Horta-Guinardo;43; Horta;556,3;566,67;562,86;585,58;585,5;568,3;572;594,2;601,3;620,1;634,4;668,7;669,89;708,69;704,57;708,88;748,19;742,51;754,53;745,35
8;Nou Barris;44; Vilapicina i la Torre Llobeta;555,89;573,24;567,26;579,11;561,6;583,1;581;615,1;618,6;617;640,5;684,2;687,37;699,81;750,43;723,34;720,9;726,89;742,82;782,95
8;Nou Barris;45; Porta;523,29;517,06;522,7;552,56;545,9;556,5;542;577,5;536,7;574,4;617,2;672,6;654,58;640,95;670,43;682,83;675,08;713,94;712,12;723,34
8;Nou Barris;46; el Turo de la Peira;475,06;461,25;459,42;501,06;456;485,4;509;555,2;537,9;547,7;538,1;582,1;587,02;600,84;613,8;653,52;665,36;668,16;682,67;692,05
8;Nou Barris;47; Can Peguera;517,85;500,4277778;501,6877778;523,3;515,5926442;515,3333333;526,3333333;533,7111111;537,6444444;553,0333333;565,4111111;593,3222222;613,1311111;609,7866667;631,0777778;640,8022222;657,58;659,0233333;677,2688889;688,8466667
8;Nou Barris;48; la Guineueta;613,58;613,14;607,74;620,83;626,2;562,5;555;538,1;589,2;614;632,3;666,8;634,54;632,43;625,23;693,4;685,05;724,25;732,86;708,41
8;Nou Barris;49; Canyelles;563,33;474,29;532,67;566,36;569,6337974;575,8;558;598;619,9;621,4;648,8;617,5;689,62;677,5;701,5;656,15;714,68;661,88;715,45;774,38
8;Nou Barris;50; les Roquetes;461,28;448,6;444,29;450,4;461,9;466,9;476;448,6;455,7;475,4;512,3;523;504,31;505,97;560,56;565,18;605,41;575,71;638,14;595,81
8;Nou Barris;51; Verdun;503,47;465,56;484,98;502,41;469,8;419,8;506;503,3;539,6;526,2;495,5;565,9;595,48;579,67;593,64;600,37;624,71;628,8;618,91;649,22
8;Nou Barris;52; la Prosperitat;521,81;501,4;479,48;515,99;515,5;531,3;544;528,7;518;550,3;584,5;589,2;624,58;617,61;625,66;641,21;634,3;657,43;667,72;698,08
8;Nou Barris;53; la Trinitat Nova;442,94;449,31;416,65;420,98;433,8;456,7;466;438,9;423,2;450,9;419,5;438,6;540,68;533,3;538,45;551,22;592,73;574,15;584,73;575,38
8;Nou Barris;54; Torre Baro;283,235706;320,21;293,6184662;284,5522747;422,7072144;420,6;349,019985;366,7;392,4;447;0;416,4;418,07;440,62;463,17;448,23;448,0545771;434,52;454,3978058;454,5568282
8;Nou Barris;55; Ciutat Meridiana;359,27;406,17;372,44;360,94;401,2;399,2;381;400,3;344,3;428;373,1;446,1;459,19;436,17;423,09;425,51;507,16;491,84;514,34;514,52
8;Nou Barris;56; Vallbona;404,9887275;457,8569639;419,8346693;406,8712425;452,254509;450;429,4839679;451,23998;418;519,6166134;452,9648562;541,5910543;557,4830671;529,5354633;513,6555911;516,5936102;615,7214058;597,1220447;624,4383387;624,656869
